,a,,,
Acantholabrus palloni,0.0108,3.074,,
Balistes capriscus,0.0166,3.081,,
Coris julis,0.0068,3.1178,,
Diplodus cervinus,0.007,3.28,,
Diplodus sargus,0.01382,3.07,,
Epinephelus costae,0.0176,2.885,,
Gobius bucchichi,0.00741 ,3.08, (Ref. 93245).,Trophic level (Ref. 69278):  3.1   ±0.0 se; based on diet studies.
Himantura uarnak,0.0117,3.17,,
Pagrus auriga,0.01905,3,,
Parupeneus forsskali,0.007,3.1699,,
Rhabdosargus haffara,0.01259,3.04,(Ref. 93245),Trophic level (Ref. 69278):  3.5   ±0.37 se; based on food items.
Sciaena umbra,0.0136,3.0038,,
Seriola dumerili,0.0199,2.964,,
Siganus luridus,0.011,3.04,,
Symphodus mediterraneus,0.0139,3.0029,,
Synodus saurus,0.02,2.715,,
Torquigener flavimaculosus,0.03761,2.8363,,
Atherinomorus forskalii,0.01122,3.04,,"Feeds on zooplankton, small bottom-living invertebrates (Ref. 5980)."
Chromis chromis,0.0147,3.0513,,
Diplodus puntazzo,0.01854,3.12,,
Fistularia commersonii,0.0118,2.7274,,
Gobius vittatus,0.00741,3.08,,"feeds on harpacticoids and other crustaceans (including plankton), polychaetes, algae and poriferans. Rarely captured (Ref. 4696)."
Mycteroperca rubra,0.008,3.065,,
Parablennius rouxi,0.00741 ,3.02,,
Pterois miles,0.019,2.896,,
Saprisoma cretense,0.01047,3.08,," Feed on algae and small invertebrates (Ref. 6761, 56146). "
Scarus ghobban,0.035,2.77,,
Scomberomorus commerson,0.012,2.812,,
Serranus scriba,0.0095,3.122,,
Sparisoma cretense,0.00568,3.311,,
Symphodus tinca,0.018,2.9243,,
Thalassoma pavo,0.00955 ,3.06,,
Argyrosomus regius,0.0114,2.976,,
Cheilodipterus novemstriatus,0.01122,3.1,,
Dasyatis pastinaca,0.0419,3.3169,,
Diplodus cervinus,0.007,3.28,,
Diplodus vulgaris,0.0145,3.034,,
Epinephelus marginatus,0.0127,3.085,,
Muraena helena,0.0027,2.894,,
Pagrus caeruleostictus,0.0671,2.521,,
Pteragogus pelycus,0.015,2.93,,
Sarpa salpa,0.0123,3.04,,
Sargocentron rubrum,0.01801,3.015,,
Serranus cabrilla,0.0126,2.955,,
Siganus rivulatus,0.0075,3.203,,
Taeniurops grabatus,0.004,3.17,,
Gobius sp,#N/A,#N/A,,
Scomber sp,#N/A,#N/A,,
Symphodus sp,#N/A,#N/A,,
Sardin sp,#N/A,#N/A,,
Echeneis sp,#N/A,#N/A,,
Dasyatis sp,#N/A,#N/A,,
