species,Diet
Chromis chromis,PK
Thalassoma pavo,Mi
Coris julis,Ma
Siganus rivulatus,H
Siganus luridus,H
Epinephelus costae,Ma
Serranus scriba,Ma
Mycteroperca rubra,FC
Rhabdosargus haffara,Ma
Epinephelus marginatus,FC
Sparisoma cretense,H
Sargocentron rubrum,Ma
Parablennius rouxi,O
Saprisoma cretense,H
Parupeneus forsskali,Mi
Torquigener flavimaculosus,Mi
Serranus cabrilla,Ma
Pterois miles,FC
Symphodus tinca,Mi
Taeniurops grabatus,Ma
Scarus ghobban,O
Pagrus caeruleostictus,Ma
Dasyatis pastinaca,Ma
Echeneis sp,Ma
Symphodus sp,Mi
Cheilodipterus novemstriatus,FC
Salpa salpa,H
Fistularia commersonii,FC
Sciaena umbra,FC
Diplodus sargus,Ma
Diplodus cervinus,Ma
Diplodus vulgaris,Ma
Argyrosomus regius,FC
Diplodus puntazzo,O
Seriola dumerili,FC
Symphodus mediterraneus,Mi
Pagrus auriga,Ma
Diplodos cervinus,NA
Balistes capriscus,Ma
Pteragogus pelycus,Mi
Himantura uarnak,Ma
Scomberomorus commerson,FC
Sardin sp,PK
Muraena helena,FC
Atherinomorus forskalii,PK
Acantholabrus palloni,Mi
Synodus saurus,FC
Scomber sp,NA
