tag,Chromis.chromis,Coris.julis,Diplodus.cervinus,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.costae,Epinephelus.marginatus,Mycteroperca.rubra,Parupeneus.forsskali,Pterois.miles,Sargocentron.rubrum,Serranus.cabrilla,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Thalassoma.pavo,Torquigener.flavimaculosus,total,site_id,transect,site,reserve,sample_date,sample_year,depth,depth_category,season,visibility,long,lat,myReserve,date_char,N.S,Sediment,Algae,H,S,simp,J,Rugosity,SD,VerRelief,Slope,Curvature,mean_depth,LogVR,% Rock in 1500m radius
AchzivR251Fall2020,30,10,0,0,0,0,5,2,0,0,0,2,0,0,0,3,0,52,Achziv25,1,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.12716763,0.849710983,1.274755497,6,0.61464497,0.711454589,1.062184132,0.957144737,4.3993,0.021925882,0.042173913,23.41645391,1.481445437,0.633
AchzivR251Fall2021,5,2,0,0,0,0,1,15,5,2,4,0,0,0,0,0,0,34,Achziv25,1,Achziv,R,28/11/2021,2021,25,25,Fall,12,35.092,33.073,R,28/11/2021,N,0.314685315,0.146853147,1.613628221,7,0.740484429,0.829240868,1.029148245,0.453783625,1.4869,0.011116812,0.045609756,26.53580515,0.396693416,0.633
AchzivR252Fall2020,7,6,0,0,0,1,0,6,1,0,6,1,0,5,5,0,0,38,Achziv25,2,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.081761006,0.849056604,2.006864565,9,0.854570637,0.913363425,1.042550883,0.512024936,1.814,0.009227056,0.048571429,24.63557071,0.595534352,0.633
AchzivR252Fall2021,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,8,Achziv25,2,Achziv,R,28/11/2021,2021,25,25,Fall,10,35.092,33.073,R,28/11/2021,N,0.281481481,0.177777778,0.974314753,3,0.59375,0.886859507,1.036286026,0.37295169,1.6271,0.009262858,0.052857143,28.07724219,0.486799289,0.633
AchzivR253Fall2020,46,7,0,0,0,0,4,3,1,0,6,0,0,0,10,0,0,77,Achziv25,3,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.087431694,0.885245902,1.326191171,7,0.607522348,0.681527444,1.021679787,0.137801018,0.6028,0.00072029,0.060588235,22.34297458,-0.506169812,0.633
AchzivR253Fall2021,3,0,0,0,0,0,1,4,15,1,2,0,0,0,0,0,0,26,Achziv25,3,Achziv,R,28/11/2021,2021,25,25,Fall,10,35.092,33.073,R,28/11/2021,N,0.198630137,0.061643836,1.302401858,6,0.621301775,0.726884317,1.024327663,0.188739642,0.7116,0.003206756,0.063076923,24.99430377,-0.340239323,0.633
AchzivR254Fall2020,10,12,0,0,0,0,0,5,2,0,1,1,0,0,20,3,0,54,Achziv25,4,Achziv,R,19/10/2020,2020,25,25,Fall,5,35.092,33.073,R,19/10/2020,N,0.091954023,0.890804598,1.665119288,8,0.765432099,0.800753113,1.042406549,0.433437787,1.821,0.011697292,0.0552,22.62236296,0.599385801,0.633
AchzivR254Fall2021,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,10,1,32,Achziv25,4,Achziv,R,28/11/2021,2021,25,25,Fall,10,35.092,33.073,R,28/11/2021,N,0.104895105,0.048951049,1.017349045,4,0.576171875,0.733862211,1.035902793,0.833049765,2.4288,0.023713175,0.071578947,26.50931456,0.887397308,0.633
AshkelonN301Fall2020,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,Ashkelon30,1,Ashkelon,N,26/10/2020,2020,30,25,Fall,5,34.511,31.681,N,26/10/2020,S,0.719101124,0,0,1,0,NA,1.18092234,0.547869699,2.4097,0.000213847,0.104411765,31.40073357,0.879502258,0.873
AshkelonN301Fall2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashkelon30,1,Ashkelon,N,24/10/2021,2021,30,25,Fall,3,34.511,31.681,N,24/10/2021,S,0.81773399,0,0,0,1,0,1.111491738,0.489702065,2.1328,0.007018938,0.109032258,30.81939624,0.75743567,0.873
