Family	tag	AchzivR251Fall2019	AchzivR251Fall2020	AchzivR251Fall2021	AchzivR251Spring2019	AchzivR251Spring2020	AchzivR251Spring2021	AchzivR252Fall2019	AchzivR252Fall2020	AchzivR252Fall2021	AchzivR252Spring2019	AchzivR252Spring2020	AchzivR252Spring2021	AchzivR253Fall2019	AchzivR253Fall2020	AchzivR253Fall2021	AchzivR253Spring2019	AchzivR253Spring2020	AchzivR253Spring2021	AchzivR254Fall2019	AchzivR254Fall2020	AchzivR254Fall2021	AchzivR254Spring2019	AchzivR254Spring2020	AchzivR254Spring2021	AshdodN301Spring2019	AshkelonN301Fall2020	AshkelonN301Spring2019	AshkelonN302Fall2020	AshkelonN302Fall2021	AshkelonN302Spring2019	AshkelonN303Fall2020	AshkelonN303Spring2019	AshkelonN304Fall2020	AshkelonN304Fall2021	AshkelonN304Spring2019	SdotYamN251Fall2019	SdotYamN251Fall2020	SdotYamN251Fall2021	SdotYamN251Spring2019	SdotYamN251Spring2020	SdotYamN251Spring2021	SdotYamN252Fall2019	SdotYamN252Fall2020	SdotYamN252Fall2021	SdotYamN252Spring2019	SdotYamN252Spring2020	SdotYamN252Spring2021	SdotYamN253Fall2019	SdotYamN253Fall2020	SdotYamN253Fall2021	SdotYamN253Spring2019	SdotYamN253Spring2020	SdotYamN253Spring2021	SdotYamN254Fall2019	SdotYamN254Fall2020	SdotYamN254Fall2021	SdotYamN254Spring2019	SdotYamN254Spring2020	SdotYamN254Spring2021	SharonN301Fall2020	SharonN301Fall2021	SharonN301Spring2021	SharonN302Fall2020	SharonN302Fall2021	SharonN302Spring2021	SharonN303Fall2020	SharonN303Fall2021	SharonN303Spring2021	SharonN304Fall2020	SharonN304Fall2021	SharonN304Spring2021	
Balistidae	Balistes.capriscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dasyatidae	Dasyatis.pastinaca	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Holocentridae	Sargocentron.rubrum	7	0	4	5	3	9	9	6	10	6	16	10	5	6	2	16	0	1	10	1	0	19	9	4	0	0	0	1	1	0	1	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	20	0	0	0	0	197
Labridae	Coris.julis	6	10	2	9	8	1	0	6	0	1	9	2	3	7	0	2	12	5	2	12	0	2	10	4	0	0	0	0	0	0	0	0	0	0	0	4	19	10	5	4	10	0	0	6	3	2	0	4	2	10	2	0	8	8	3	0	4	0	2	6	0	4	3	1	0	0	0	8	4	3	2	250
Labridae	Symphodus.mediterraneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Labridae	Symphodus.tinca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Labridae	Thalassoma.pavo	1	3	0	7	1	2	5	0	0	3	3	3	0	0	3	0	8	0	2	3	10	1	1	3	0	0	0	1	0	0	2	1	1	0	0	0	5	2	0	11	2	0	1	0	1	16	0	0	0	0	1	4	0	0	1	0	1	0	0	0	11	1	0	0	0	0	0	0	0	0	0	121
Mullidae	Parupeneus.forsskali	3	0	5	0	0	0	1	1	1	0	0	0	5	7	15	0	0	0	4	2	18	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	12	0	0	0	1	3	52	0	0	0	2	0	10	6	0	0	2	3	8	0	0	0	4	0	0	0	0	0	0	2	0	3	2	0	175
Muraenidae	Muraena.helena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pomacentridae	Chromis.chromis	91	30	5	20	0	0	60	7	0	0	0	0	190	46	13	0	0	3	90	10	40	1	0	0	69	0	5	2	0	1	50	10	6	10	3	10	0	24	0	35	0	6	0	0	48	27	6	27	0	0	50	30	0	41	10	40	4	0	0	32	16	6	25	0	8	0	0	0	0	30	0	1237
Scaridae	Scarus.ghobban	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Scaridae	Sparisoma.cretense	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Sciaenidae	Argyrosomus.regius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Scombridae	Scomberomorus.commerson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Scorpaenidae	Pterois.miles	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	13
Serranidae	Epinephelus.costae	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	8	0	0	0	0	2	0	0	0	0	0	5	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	49
Serranidae	Epinephelus.marginatus	0	6	1	0	0	1	1	0	0	3	1	1	1	4	2	2	0	0	0	1	0	2	0	0	0	0	0	3	2	1	2	1	3	0	0	0	0	0	0	0	0	0	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	15	3	0	0	0	0	67
