date,sample_year,season,kPa,TempC,Transect,depths,depth,site,site_id,reserve
18/05/2016,2016,S,484.304,19.567,1,37.79708858,45,Sdot-Yam,,N
18/05/2016,2016,S,486.35,19.567,1,37.99901308,45,Sdot-Yam,,N
18/05/2016,2016,S,484.496,19.567,1,37.8160375,45,Sdot-Yam,,N
18/05/2016,2016,S,487.948,19.567,1,38.15672341,45,Sdot-Yam,,N
18/05/2016,2016,S,487.5,19.567,1,38.11250925,45,Sdot-Yam,,N
18/05/2016,2016,S,486.989,19.567,1,38.06207747,45,Sdot-Yam,,N
18/05/2016,2016,S,486.35,19.567,1,37.99901308,45,Sdot-Yam,,N
18/05/2016,2016,S,486.35,19.567,1,37.99901308,45,Sdot-Yam,,N
18/05/2016,2016,S,487.373,19.567,1,38.09997533,45,Sdot-Yam,,N
18/05/2016,2016,S,488.076,19.567,1,38.16935603,45,Sdot-Yam,,N
18/05/2016,2016,S,487.948,19.567,1,38.15672341,45,Sdot-Yam,,N
18/05/2016,2016,S,488.14,19.567,1,38.17567234,45,Sdot-Yam,,N
18/05/2016,2016,S,488.459,19.567,1,38.20715519,45,Sdot-Yam,,N
18/05/2016,2016,S,488.651,19.567,1,38.22610412,45,Sdot-Yam,,N
18/05/2016,2016,S,488.843,19.567,1,38.24505305,45,Sdot-Yam,,N
18/05/2016,2016,S,489.098,19.567,1,38.27021959,45,Sdot-Yam,,N
18/05/2016,2016,S,489.162,19.567,1,38.2765359,45,Sdot-Yam,,N
18/05/2016,2016,S,489.226,19.567,1,38.28285221,45,Sdot-Yam,,N
18/05/2016,2016,S,488.843,19.567,1,38.24505305,45,Sdot-Yam,,N
18/05/2016,2016,S,488.779,19.567,1,38.23873674,45,Sdot-Yam,,N
18/05/2016,2016,S,488.331,19.567,1,38.19452258,45,Sdot-Yam,,N
18/05/2016,2016,S,488.587,19.567,1,38.21978781,45,Sdot-Yam,,N
18/05/2016,2016,S,488.651,19.567,1,38.22610412,45,Sdot-Yam,,N
18/05/2016,2016,S,488.587,19.567,1,38.21978781,45,Sdot-Yam,,N
18/05/2016,2016,S,488.459,19.567,1,38.20715519,45,Sdot-Yam,,N
18/05/2016,2016,S,488.459,19.567,1,38.20715519,45,Sdot-Yam,,N
18/05/2016,2016,S,488.523,19.567,1,38.2134715,45,Sdot-Yam,,N
18/05/2016,2016,S,489.162,19.567,1,38.2765359,45,Sdot-Yam,,N
18/05/2016,2016,S,489.035,19.567,1,38.26400197,45,Sdot-Yam,,N
18/05/2016,2016,S,488.779,19.567,1,38.23873674,45,Sdot-Yam,,N
18/05/2016,2016,S,488.779,19.567,1,38.23873674,45,Sdot-Yam,,N
18/05/2016,2016,S,489.162,19.567,1,38.2765359,45,Sdot-Yam,,N
18/05/2016,2016,S,489.226,19.567,1,38.28285221,45,Sdot-Yam,,N
18/05/2016,2016,S,488.971,19.567,1,38.25768566,45,Sdot-Yam,,N
18/05/2016,2016,S,488.779,19.567,1,38.23873674,45,Sdot-Yam,,N
18/05/2016,2016,S,488.204,19.567,1,38.18198865,45,Sdot-Yam,,N
18/05/2016,2016,S,487.692,19.567,1,38.13145818,45,Sdot-Yam,,N
18/05/2016,2016,S,488.907,19.567,1,38.25136936,45,Sdot-Yam,,N
18/05/2016,2016,S,489.546,19.567,1,38.31443375,45,Sdot-Yam,,N
18/05/2016,2016,S,489.546,19.567,1,38.31443375,45,Sdot-Yam,,N
18/05/2016,2016,S,489.866,19.567,1,38.3460153,45,Sdot-Yam,,N
18/05/2016,2016,S,489.802,19.567,1,38.33969899,45,Sdot-Yam,,N
18/05/2016,2016,S,489.29,19.567,1,38.28916852,45,Sdot-Yam,,N
18/05/2016,2016,S,489.29,19.567,1,38.28916852,45,Sdot-Yam,,N
18/05/2016,2016,S,489.354,19.567,1,38.29548483,45,Sdot-Yam,,N
18/05/2016,2016,S,489.866,19.567,1,38.3460153,45,Sdot-Yam,,N
18/05/2016,2016,S,489.674,19.567,1,38.32706637,45,Sdot-Yam,,N
18/05/2016,2016,S,489.482,19.567,1,38.30811744,45,Sdot-Yam,,N
18/05/2016,2016,S,490.185,19.567,1,38.37749815,45,Sdot-Yam,,N
18/05/2016,2016,S,490.696,19.567,1,38.42792993,45,Sdot-Yam,,N
18/05/2016,2016,S,490.824,19.567,1,38.44056255,45,Sdot-Yam,,N
18/05/2016,2016,S,491.08,19.567,1,38.46582778,45,Sdot-Yam,,N
18/05/2016,2016,S,491.272,19.567,1,38.48477671,45,Sdot-Yam,,N
18/05/2016,2016,S,491.08,19.567,1,38.46582778,45,Sdot-Yam,,N
18/05/2016,2016,S,491.655,19.567,1,38.52257587,45,Sdot-Yam,,N
18/05/2016,2016,S,491.4,19.567,1,38.49740933,45,Sdot-Yam,,N
18/05/2016,2016,S,491.272,19.567,1,38.48477671,45,Sdot-Yam,,N
18/05/2016,2016,S,490.185,19.567,1,38.37749815,45,Sdot-Yam,,N
18/05/2016,2016,S,490.76,19.567,1,38.43424624,45,Sdot-Yam,,N
18/05/2016,2016,S,491.336,19.567,1,38.49109302,45,Sdot-Yam,,N
18/05/2016,2016,S,491.4,19.567,1,38.49740933,45,Sdot-Yam,,N
18/05/2016,2016,S,491.527,19.567,1,38.50994325,45,Sdot-Yam,,N
18/05/2016,2016,S,491.4,19.567,1,38.49740933,45,Sdot-Yam,,N
18/05/2016,2016,S,491.208,19.567,1,38.4784604,45,Sdot-Yam,,N
18/05/2016,2016,S,491.4,19.567,1,38.49740933,45,Sdot-Yam,,N
18/05/2016,2016,S,491.719,19.567,1,38.52889218,45,Sdot-Yam,,N
18/05/2016,2016,S,491.591,19.567,1,38.51625956,45,Sdot-Yam,,N
18/05/2016,2016,S,491.336,19.567,1,38.49109302,45,Sdot-Yam,,N
18/05/2016,2016,S,491.336,19.567,1,38.49109302,45,Sdot-Yam,,N
18/05/2016,2016,S,491.591,19.567,1,38.51625956,45,Sdot-Yam,,N
18/05/2016,2016,S,491.911,19.567,1,38.54784111,45,Sdot-Yam,,N
18/05/2016,2016,S,491.783,19.567,1,38.53520849,45,Sdot-Yam,,N
18/05/2016,2016,S,491.655,19.567,1,38.52257587,45,Sdot-Yam,,N
18/05/2016,2016,S,491.463,19.567,1,38.50362694,45,Sdot-Yam,,N
18/05/2016,2016,S,490.824,19.567,1,38.44056255,45,Sdot-Yam,,N
18/05/2016,2016,S,491.911,19.567,1,38.54784111,45,Sdot-Yam,,N
18/05/2016,2016,S,491.847,19.567,1,38.5415248,45,Sdot-Yam,,N
18/05/2016,2016,S,491.527,19.567,1,38.50994325,45,Sdot-Yam,,N
18/05/2016,2016,S,491.272,19.567,1,38.48477671,45,Sdot-Yam,,N
18/05/2016,2016,S,491.208,19.567,1,38.4784604,45,Sdot-Yam,,N
18/05/2016,2016,S,491.08,19.567,1,38.46582778,45,Sdot-Yam,,N
18/05/2016,2016,S,490.505,19.567,1,38.40907969,45,Sdot-Yam,,N
18/05/2016,2016,S,490.76,19.567,1,38.43424624,45,Sdot-Yam,,N
18/05/2016,2016,S,491.655,19.567,1,38.52257587,45,Sdot-Yam,,N
18/05/2016,2016,S,491.911,19.567,1,38.54784111,45,Sdot-Yam,,N
18/05/2016,2016,S,491.975,19.567,1,38.55415741,45,Sdot-Yam,,N
18/05/2016,2016,S,491.975,19.567,1,38.55415741,45,Sdot-Yam,,N
18/05/2016,2016,S,491.847,19.567,1,38.5415248,45,Sdot-Yam,,N
18/05/2016,2016,S,492.167,19.567,1,38.57310634,45,Sdot-Yam,,N
