OBJECTID,CODE,HabitaName,Desc,long,lat,BufferArea,EchoArea,HardFactio
5,0,сев1,Achziv25,35.092,33.073,6952769.957,17232.278,0.002
7,0,сев2,Achziv25,35.092,33.073,6952769.957,4309723.523,0.62
7,0,???? ?????,SdotYam25,34.87,32.511,6952619.054,3865975.216,0.556
7,0,???? ?????,Ashdod30,34.58,31.78,6952187.961,3195144.723,0.46
7,0,???? ?????,Ashkelon30,34.511,31.681,6952046.366,6067815.063,0.873
7,0,???? ?????,Sharon30,34.7889,32.2371,6952525.217,5661528.893,0.814
9,0,сев3,Achziv25,35.092,33.073,6952769.957,75393.42,0.011
,,,,,,,,
,,,,,,,,
,,Site,% Rock in 1500m radius,,,,,
,,Achziv25,0.633,,,,,
,,SdotYam25,0.556,,,,,
,,Ashdod30,0.46,,,,,
,,Ashkelon30,0.873,,,,,
,,Sharon30,0.814,,,,,
