Site,Year,Month,Day,Hour,Av. Temperature [C˚],Av. Fluorescence ~[mg/m3],Av. Turbidity [NTU]
Ashkelon,2012,7,27,8,30.06,0.19,5.76
Ashkelon,2012,7,27,9,30.15,0.03,1.41
Ashkelon,2012,7,27,10,30.3,0.06,1.3
Ashkelon,2012,7,27,11,30.4,-0.01,0.6
Ashkelon,2012,7,27,12,30.63,0.05,1.08
Ashkelon,2012,7,27,13,30.79,0.02,1.7
Ashkelon,2012,7,27,14,30.88,0.11,2.61
Ashkelon,2012,7,27,15,30.98,0.08,1.38
Ashkelon,2012,7,27,16,31.01,0.24,4.6
Ashkelon,2012,7,27,17,30.97,0.26,5.42
Ashkelon,2012,7,27,18,31,0.2,1.49
Ashkelon,2012,7,27,19,31.05,0.16,2.11
Ashkelon,2012,7,27,20,31.07,0.16,2.4
Ashkelon,2012,7,27,21,31.08,0.21,3.14
Ashkelon,2012,7,27,22,31.11,0.12,0.91
Ashkelon,2012,7,27,23,31.14,0.14,0.88
Ashkelon,2012,7,28,0,31.15,0.12,0.84
Ashkelon,2012,7,28,1,31.13,0.27,1.91
Ashkelon,2012,7,28,2,31.16,0.18,1.36
Ashkelon,2012,7,28,3,31.17,0.15,1.04
Ashkelon,2012,7,28,4,31.15,0.19,2.18
Ashkelon,2012,7,28,5,31.21,0.18,1.12
Ashkelon,2012,7,28,6,31.24,0.21,3.33
Ashkelon,2012,7,28,7,31.29,0.25,5.25
Ashkelon,2012,7,28,8,31.33,0.18,1.67
Ashkelon,2012,7,28,9,31.37,0.17,1.72
Ashkelon,2012,7,28,10,31.49,0.15,0.79
Ashkelon,2012,7,28,11,31.46,0.18,1.73
Ashkelon,2012,7,28,12,31.44,0.3,3.46
Ashkelon,2012,7,28,13,31.46,0.38,0.88
Ashkelon,2012,7,28,14,31.51,0.42,2.17
Ashkelon,2012,7,28,15,31.51,0.34,0.89
Ashkelon,2012,7,28,16,31.15,0.28,0.92
Ashkelon,2012,7,28,17,30.88,0.21,1.61
Ashkelon,2012,7,28,18,30.84,0.15,0.83
Ashkelon,2012,7,28,19,30.84,0.19,0.85
Ashkelon,2012,7,28,20,30.77,0.17,0.89
Ashkelon,2012,7,28,21,30.76,0.27,3.63
Ashkelon,2012,7,28,22,30.71,0.09,0.89
Ashkelon,2012,7,28,23,30.72,0.21,5.37
Ashkelon,2012,7,29,0,30.74,0.14,1.57
Ashkelon,2012,7,29,1,30.72,0.11,0.97
Ashkelon,2012,7,29,2,30.69,0.14,4.93
Ashkelon,2012,7,29,3,30.68,0.14,1.47
Ashkelon,2012,7,29,4,30.67,0.22,5.36
Ashkelon,2012,7,29,5,30.66,0.13,2.19
Ashkelon,2012,7,29,6,30.67,0.16,1.13
Ashkelon,2012,7,29,7,30.72,0.13,0.82
Ashkelon,2012,7,29,8,30.76,0.16,1.34
Ashkelon,2012,7,29,9,30.82,0.17,0.82
Ashkelon,2012,7,29,10,30.89,0.16,0.78
Ashkelon,2012,7,29,11,30.92,0.22,1.9
Ashkelon,2012,7,29,12,31.04,0.18,1.49
Ashkelon,2012,7,29,13,31.06,0.23,1.29
Ashkelon,2012,7,29,14,31.14,0.24,0.81
Ashkelon,2012,7,29,15,31.32,0.21,1.19
Ashkelon,2012,7,29,16,31.37,0.28,0.9
Ashkelon,2012,7,29,17,31.42,0.23,1
Ashkelon,2012,7,29,18,31.47,0.26,1.39
Ashkelon,2012,7,29,19,31.51,0.28,3.27
Ashkelon,2012,7,29,20,31.51,0.22,1.6
Ashkelon,2012,7,29,21,31.43,0.23,1.67
Ashkelon,2012,7,29,22,31.41,0.2,1.19
Ashkelon,2012,7,29,23,31.43,0.23,1.98
Ashkelon,2012,7,30,0,31.42,0.16,1.04
Ashkelon,2012,7,30,1,31.38,0.19,5.44
Ashkelon,2012,7,30,2,31.4,0.17,1.51
Ashkelon,2012,7,30,3,31.43,0.2,1.48
Ashkelon,2012,7,30,4,31.41,0.2,5.66
Ashkelon,2012,7,30,5,31.34,0.2,0.95
Ashkelon,2012,7,30,6,31.29,0.25,1.41
Ashkelon,2012,7,30,7,31.33,0.29,0.93
Ashkelon,2012,7,30,8,31.33,0.32,0.95
Ashkelon,2012,7,30,9,31.26,0.52,2.46
Ashkelon,2012,7,30,10,31.13,0.27,0.91
Ashkelon,2012,7,30,11,31.04,0.21,0.99
Ashkelon,2012,7,30,12,31.34,0.29,0.93
Ashkelon,2012,7,30,13,31.19,0.19,1.47
Ashkelon,2012,7,30,14,31.06,0.16,1.1
Ashkelon,2012,7,30,15,30.98,0.16,1.41
Ashkelon,2012,7,30,16,30.88,0.07,0.8
Ashkelon,2012,7,30,17,30.94,0.33,1.93
Ashkelon,2012,7,30,18,31.05,0.29,3.1
Ashkelon,2012,7,30,19,31.09,0.29,1.24
Ashkelon,2012,7,30,20,31.24,0.28,1.73
Ashkelon,2012,7,30,21,31.35,0.25,1.95
Ashkelon,2012,7,30,22,31.47,0.35,2.43
Ashkelon,2012,7,30,23,31.54,0.55,6.34
Ashkelon,2012,7,31,0,31.56,0.28,1.09
Ashkelon,2012,7,31,1,31.47,0.57,5.8
Ashkelon,2012,7,31,2,31.42,0.38,2.93
Ashkelon,2012,7,31,3,31.43,0.33,1.28
Ashkelon,2012,7,31,4,31.42,0.34,1.21
Ashkelon,2012,7,31,5,31.38,0.4,2.19
Ashkelon,2012,7,31,6,31.35,0.31,1.13
Ashkelon,2012,7,31,7,31.38,0.33,1.12
Ashkelon,2012,7,31,8,31.44,0.36,1.05
Ashkelon,2012,7,31,9,31.48,0.39,1.38
Ashkelon,2012,7,31,10,31.62,0.31,1.02
Ashkelon,2012,7,31,11,31.67,0.33,1.5
Ashkelon,2012,7,31,12,31.67,0.32,1.21
Ashkelon,2012,7,31,13,31.72,0.34,2.35
Ashkelon,2012,7,31,14,31.65,0.44,2.06
Ashkelon,2012,7,31,15,31.62,0.41,1.35
Ashkelon,2012,7,31,16,31.58,0.38,1.02
Ashkelon,2012,7,31,17,31.58,0.61,1.59
Ashkelon,2012,7,31,18,31.55,0.61,1.68
Ashkelon,2012,7,31,19,31.57,0.46,1.09
Ashkelon,2012,7,31,20,31.61,0.55,1.13
Ashkelon,2012,7,31,21,31.6,0.71,2.43
Ashkelon,2012,7,31,22,31.58,0.71,2.7
Ashkelon,2012,7,31,23,31.53,0.58,1.39
Ashkelon,2012,8,1,0,31.47,0.33,1.37
Ashkelon,2012,8,1,1,31.37,0.31,2.31
Ashkelon,2012,8,1,2,31.35,0.38,2.39
Ashkelon,2012,8,1,3,31.32,0.34,1.29
Ashkelon,2012,8,1,4,31.33,0.29,1.67
Ashkelon,2012,8,1,5,31.35,0.29,1.8
Ashkelon,2012,8,1,6,31.33,0.36,4.85
Ashkelon,2012,8,1,7,31.35,0.26,1.52
Ashkelon,2012,8,1,8,31.37,0.23,1.65
Ashkelon,2012,8,1,9,31.31,0.27,1.25
Ashkelon,2012,8,1,10,31.31,0.22,0.99
Ashkelon,2012,8,1,11,31.35,0.23,1.45
Ashkelon,2012,8,1,12,31.37,0.3,1.94
Ashkelon,2012,8,1,13,31.31,0.24,1.54
Ashkelon,2012,8,1,14,31.3,0.45,3.45
Ashkelon,2012,8,1,15,31.27,0.33,1.73
Ashkelon,2012,8,1,16,31.3,0.26,3.1
Ashkelon,2012,8,1,17,31.32,0.19,4.48
Ashkelon,2012,8,1,18,31.33,0.19,3.64
Ashkelon,2012,8,1,19,31.38,0.25,3.69
Ashkelon,2012,8,1,20,31.48,0.16,0.91
Ashkelon,2012,8,1,21,31.5,0.17,0.85
Ashkelon,2012,8,1,22,31.45,0.16,0.94
Ashkelon,2012,8,1,23,31.42,0.15,0.96
Ashkelon,2012,8,2,0,31.38,0.22,2.88
Ashkelon,2012,8,2,1,31.34,0.21,0.99
Ashkelon,2012,8,2,2,31.34,0.2,1.37
