Site,Year,Month,Day,Hour,Av. Temperature [C˚],Av. Fluorescence ~[mg/m3],Av. Turbidity [NTU]
Hadera,2011,3,22,12,17.98,0.07,0.26
Hadera,2011,3,22,13,18.04,0.07,0.25
Hadera,2011,3,22,14,18.16,0.06,0.21
Hadera,2011,3,22,15,18.16,0.06,0.21
Hadera,2011,3,22,16,18.11,0.08,0.25
Hadera,2011,3,22,17,18.11,0.08,0.22
Hadera,2011,3,22,18,18.07,0.08,0.22
Hadera,2011,3,22,19,18.05,0.08,0.23
Hadera,2011,3,22,20,18.05,0.08,0.22
Hadera,2011,3,22,21,18.03,0.08,0.22
Hadera,2011,3,22,22,18.01,0.08,0.23
Hadera,2011,3,22,23,18,0.08,0.23
Hadera,2011,3,23,0,18,0.08,0.25
Hadera,2011,3,23,1,18,0.07,0.24
Hadera,2011,3,23,2,17.99,0.08,0.24
Hadera,2011,3,23,3,17.99,0.08,0.26
Hadera,2011,3,23,4,17.98,0.08,0.26
Hadera,2011,3,23,5,17.98,0.09,0.27
Hadera,2011,3,23,6,17.99,0.08,0.26
Hadera,2011,3,23,7,17.99,0.08,0.28
Hadera,2011,3,23,8,18,0.08,0.26
Hadera,2011,3,23,9,18,0.07,0.27
Hadera,2011,3,23,10,17.99,0.08,0.3
Hadera,2011,3,23,11,18.05,0.08,0.27
Hadera,2011,3,23,12,18.22,0.05,0.24
Hadera,2011,3,23,13,18.27,0.07,0.23
Hadera,2011,3,23,14,18.25,0.09,0.24
Hadera,2011,3,23,15,18.24,0.07,0.22
Hadera,2011,3,23,16,18.22,0.08,0.21
Hadera,2011,3,23,17,18.2,0.07,0.22
Hadera,2011,3,23,18,18.18,0.07,0.22
Hadera,2011,3,23,19,18.16,0.07,0.22
Hadera,2011,3,23,20,18.14,0.07,0.25
Hadera,2011,3,23,21,18.12,0.08,0.26
Hadera,2011,3,23,22,18.1,0.07,0.24
Hadera,2011,3,23,23,18.08,0.07,0.32
Hadera,2011,3,24,0,18.07,0.06,0.26
Hadera,2011,3,24,1,18.05,0.07,0.3
Hadera,2011,3,24,2,18.04,0.07,0.32
Hadera,2011,3,24,3,18.03,0.08,0.43
Hadera,2011,3,24,4,18.01,0.08,0.5
Hadera,2011,3,24,5,18.01,0.07,0.51
Hadera,2011,3,24,6,18.01,0.07,0.5
Hadera,2011,3,24,7,18.01,0.08,0.52
Hadera,2011,3,24,8,18.01,0.08,0.54
Hadera,2011,3,24,9,18.02,0.09,0.53
Hadera,2011,3,24,10,18.02,0.1,0.52
Hadera,2011,3,24,11,18.02,0.11,0.55
Hadera,2011,3,24,12,18.03,0.13,0.56
Hadera,2011,3,24,13,18.04,0.14,0.54
Hadera,2011,3,24,14,18.11,0.17,0.64
Hadera,2011,3,24,15,18.22,0.24,0.85
Hadera,2011,3,24,16,18.15,0.24,1.08
Hadera,2011,3,24,17,18.09,0.21,1.35
Hadera,2011,3,24,18,18.02,0.21,1.32
Hadera,2011,3,24,19,17.97,0.22,1.4
Hadera,2011,3,24,20,18.01,0.22,1.52
Hadera,2011,3,24,21,18.03,0.22,1.78
Hadera,2011,3,24,22,18.02,0.21,1.82
Hadera,2011,3,24,23,18.02,0.2,1.9
Hadera,2011,3,25,0,17.99,0.17,1.73
Hadera,2011,3,25,1,17.97,0.16,1.48
Hadera,2011,3,25,2,17.88,0.14,1.34
Hadera,2011,3,25,3,17.87,0.15,1.17
Hadera,2011,3,25,4,17.84,0.14,1.15
Hadera,2011,3,25,5,17.83,0.15,1.4
Hadera,2011,3,25,6,17.82,0.16,1.29
Hadera,2011,3,25,7,17.84,0.15,1.34
Hadera,2011,3,25,8,17.86,0.17,1.34
Hadera,2011,3,25,9,17.85,0.16,1.07
Hadera,2011,3,25,10,17.87,0.16,1.1
Hadera,2011,3,25,11,17.88,0.15,0.97
Hadera,2011,3,25,12,17.89,0.17,0.96
Hadera,2011,3,25,13,17.9,0.17,0.96
Hadera,2011,3,25,14,17.95,0.15,0.77
Hadera,2011,3,25,15,18.01,0.15,0.71
Hadera,2011,3,25,16,18.05,0.13,0.59
Hadera,2011,3,25,17,18.06,0.13,0.6
Hadera,2011,3,25,18,18.07,0.13,0.64
Hadera,2011,3,25,19,18.08,0.13,0.64
Hadera,2011,3,25,20,18.04,0.12,0.67
Hadera,2011,3,25,21,18.02,0.12,0.63
Hadera,2011,3,25,22,18.03,0.12,0.65
Hadera,2011,3,25,23,18.02,0.13,0.64
Hadera,2011,3,26,0,17.99,0.12,0.69
Hadera,2011,3,26,1,17.98,0.13,0.66
Hadera,2011,3,26,2,17.97,0.11,0.7
Hadera,2011,3,26,3,17.98,0.12,0.79
Hadera,2011,3,26,4,17.96,0.13,0.78
Hadera,2011,3,26,5,17.96,0.12,0.81
Hadera,2011,3,26,6,17.98,0.12,0.72
Hadera,2011,3,26,7,17.97,0.11,0.75
Hadera,2011,3,26,8,17.97,0.07,0.58
