transect,a_b,site,reserve,habitat,sample_date,sample_year,depth,depth_category,season,site_id,tag,visibility,factor_visibility,observer,species,size,distance,date_id,taxonomy_group
1,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN251Spring2015,10,0.333333333,SE,Coris julis,12,0.4,16583,fish
1,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN251Spring2015,10,0.333333333,SE,Thalassoma pavo,10,1,16583,fish
1,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN251Spring2015,10,0.333333333,SE,Chromis chromis,8,2.4,16583,fish
1,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN251Spring2015,10,0.333333333,SE,Chromis chromis,8,2.4,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Coris julis,10,0.8,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Coris julis,4,0.2,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Coris julis,6,0.2,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Coris julis,10,0.9,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Coris julis,10,0.9,16583,fish
2,a,Sdot yam,N,Rocky,28/05/2015,2015,25,25,Spring,SdotYam25,Sdot yamN252Spring2015,10,0.333333333,SE,Chromis chromis,8,0.1,16583,fish
