,site_id,transect,a_b,site,reserve,habitat,sample_date,sample_year,depth,depth_category,season,visibility,factor_visibility,observer,species,size,distance,date_id,taxonomy_group,long,lat,tag,a,b,fish_weight,norm_wt,Diet
1,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
2,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
3,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Coris julis,10,2.5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0068,3.1178,8.918851085,0.002766623,Ma
4,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,4,16757,fish,35.092,33.073,Achziv101Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
5,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
6,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
7,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
8,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
9,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
10,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
11,Achziv10,4,a,Achziv,R,Rocky,10/04/2018,2018,10,10,Spring,6,0.555555556,SE,Chromis chromis,7,1.5,17631,fish,35.092,33.073,Achziv104Spring2018,0.0147,3.0513,5.571408267,0.191663018,PK
12,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Coris julis,8,2.5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0068,3.1178,4.447980495,0.001370522,Ma
13,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,6,4,16757,fish,35.092,33.073,Achziv101Fall2015,0.0147,3.0513,3.480889565,0.119086845,PK
14,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,15,2,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,43.86130673,NA,H
15,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
16,Achziv10,1,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Siganus rivulatus,10,5,16757,fish,35.092,33.073,Achziv101Fall2015,0.0075,3.203,11.9690936,NA,H
17,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
18,Achziv10,2,a,Achziv,R,Rocky,05/05/2017,2017,10,10,Spring,8,0.416666667,SE,Chromis chromis,7,1,17291,fish,35.092,33.073,Achziv102Spring2017,0.0147,3.0513,5.571408267,0.191663018,PK
19,Achziv10,2,a,Achziv,R,Rocky,18/11/2015,2015,10,10,Fall,12,0.277777778,SE,Chromis chromis,8,3,16757,fish,35.092,33.073,Achziv102Fall2015,0.0147,3.0513,8.373669429,0.288948629,PK
