"","site_id","site","reserve","sample_date","sample_year","depth_category","season","visibility","date_id","taxonomy_group","long","lat","tag","n_species_sample","n_ind_sample","Acantholabrus palloni","Argyrosomus regius","Atherinomorus forskalii","Balistes capriscus","Cheilodipterus novemstriatus","Chromis chromis","Coris julis","Dasyatis pastinaca","Diplodus cervinus","Diplodus puntazzo","Diplodus sargus","Diplodus vulgaris","Echeneis sp","Epinephelus costae","Epinephelus marginatus","Fistularia commersonii","Gobius bucchichi","Gobius vittatus","Muraena helena","Mycteroperca rubra","Pagrus auriga","Pagrus caeruleostictus","Parablennius rouxi","Parupeneus forsskali","Pterois miles","Salpa salpa","Saprisoma cretense","Sardin sp","Sargocentron rubrum","Scarus ghobban","Sciaena umbra","Scomber sp","Scomberomorus commerson","Seriola dumerili","Serranus cabrilla","Serranus scriba","Siganus luridus","Siganus rivulatus","Sparisoma cretense","Symphodus mediterraneus","Symphodus tinca","Synodus saurus","Taeniurops grabatus","Thalassoma pavo","Torquigener flavimaculosus"
"1","Achziv25","Achziv","R","01/05/2019",2019,25,"Spring",13,18017,"fish",35.092,33.073,"Achziv251Spring2019",6,45,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
"2","Achziv25","Achziv","R","01/05/2019",2019,25,"Spring",13,18017,"fish",35.092,33.073,"Achziv252Spring2019",7,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1
"3","Achziv25","Achziv","R","01/05/2019",2019,25,"Spring",13,18017,"fish",35.092,33.073,"Achziv253Spring2019",4,21,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Achziv25","Achziv","R","01/05/2019",2019,25,"Spring",13,18017,"fish",35.092,33.073,"Achziv254Spring2019",6,26,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5","Achziv25","Achziv","R","05/05/2017",2017,25,"Spring",11,17291,"fish",35.092,33.073,"Achziv251Spring2017",5,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
"6","Achziv25","Achziv","R","05/05/2017",2017,25,"Spring",11,17291,"fish",35.092,33.073,"Achziv252Spring2017",4,18,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7","Achziv25","Achziv","R","05/05/2017",2017,25,"Spring",11,17291,"fish",35.092,33.073,"Achziv253Spring2017",5,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1
"8","Achziv25","Achziv","R","05/05/2017",2017,25,"Spring",11,17291,"fish",35.092,33.073,"Achziv254Spring2017",4,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"9","Achziv25","Achziv","R","05/11/2019",2019,25,"Fall",7,18205,"fish",35.092,33.073,"Achziv252Fall2019",7,81,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0
"10","Achziv25","Achziv","R","05/11/2019",2019,25,"Fall",9,18205,"fish",35.092,33.073,"Achziv251Fall2019",7,111,0,0,0,0,0,91,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
