"","site_id","site","reserve","sample_date","sample_year","depth_category","season","visibility","date_id","taxonomy_group","long","lat","tag","species","total_ind","n_species_sample","n_ind_sample"
"1","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",8,18017,"fish",35.092,33.073,"Achziv103Spring2019","Chromis chromis",10,6,114
"2","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",8,18017,"fish",35.092,33.073,"Achziv103Spring2019","Coris julis",3,6,114
"3","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",8,18017,"fish",35.092,33.073,"Achziv103Spring2019","Epinephelus costae",1,6,114
"4","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",8,18017,"fish",35.092,33.073,"Achziv103Spring2019","Epinephelus marginatus",3,6,114
"5","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",8,18017,"fish",35.092,33.073,"Achziv103Spring2019","Siganus luridus",41,6,114
"6","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",8,18017,"fish",35.092,33.073,"Achziv103Spring2019","Thalassoma pavo",56,6,114
"7","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv101Spring2019","Coris julis",2,6,35
"8","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv101Spring2019","Epinephelus costae",1,6,35
"9","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv101Spring2019","Epinephelus marginatus",3,6,35
"10","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv101Spring2019","Mycteroperca rubra",6,6,35
"11","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv101Spring2019","Siganus luridus",10,6,35
"12","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv101Spring2019","Thalassoma pavo",13,6,35
"13","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Chromis chromis",14,7,52
"14","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Epinephelus costae",1,7,52
"15","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Epinephelus marginatus",2,7,52
"16","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Mycteroperca rubra",4,7,52
"17","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Saprisoma cretense",1,7,52
"18","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Siganus luridus",16,7,52
"19","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",9,18017,"fish",35.092,33.073,"Achziv102Spring2019","Thalassoma pavo",14,7,52
"20","Achziv10","Achziv","R","01/05/2019",2019,10,"Spring",10,18017,"fish",35.092,33.073,"Achziv104Spring2019","Chromis chromis",31,5,72
