"","FBspecies","a","b","Locality"
"1","Chromis chromis","0.09959","2.415","South Euboikos Gulf / 1992-1993."
"2","Chromis chromis","0.09959","2.415","G. S. Evvoikos, 1992-93"
"3","Chromis chromis","0.0199","3.071","central Adriatic, 1992"
"4","Chromis chromis","0.0399","2.671","northern Adriatic, 1992"
"5","Chromis chromis","0.0199","2.901","central Adriatic, 1992"
"6","Chromis chromis","0.0299","2.793","northern Adriatic, 1992"
"7","Chromis chromis","0.0262","2.753","East coast, 1995"
"8","Chromis chromis","0.0189","2.9271","Balearic Islands / 2001-2001."
"9","Chromis chromis","0.0275","2.703","Gökceada Island (northern Aegean Sea), 2004-2036"
"10","Chromis chromis","0.01023","3.01","Argolikos Gulf / 2007-2008."
"11","Chromis chromis","0.0147","3.0513","Southern Agean Sea / 2009-2010."
"12","Chromis chromis","0.012","3.058","Gökçeada Island, northern Aegean Sea / 2013-2014."
"13","Chromis chromis","0.0127","3.1172","Ordu (Black Sea)/2018"
"14","Coris julis","0.00478","3.378","South Euboikos Gulf / 1992-1993."
"15","Coris julis","0.0081","3",NA
"16","Coris julis","0.0124","2.946","South coast, 1994-95"
"17","Coris julis","0.00813","3.238","Eastern Adriatic, 1991-94"
"18","Coris julis","0.012","2.91","Catalan coast, 1996-98"
"19","Coris julis","0.00478","3.378","G. S. Evvoikos, 1992-93"
"20","Coris julis","0.00685","3.031","East coast, 1995"
"21","Coris julis","0.007","3.0462","Balearic Islands / 2001-2001."
"22","Coris julis","0.0063","3.125","North Aegean Sea (Thracian Sea) (39°35’-40°54’N; 24°22’-25°33’E), 1996-98"
"23","Coris julis","0.0082","3.054","Gökceada Island (northern Aegean Sea), 2004-2024"
"24","Coris julis","0.0068","3.1178","Southern Agean Sea / 2009-2010."
"25","Coris julis","0.005","3.215","Gökçeada Island, northern Aegean Sea / 2013-2014."
"26","Epinephelus costae","0.00241","3.44","1985"
"27","Epinephelus costae","0.0176","2.885","Gökova Bay, SE Aegean Sea, 2006"
"28","Epinephelus costae","0.0885","2.391","Iskenderun Bay / 2000-2000"
"29","Epinephelus marginatus","0.0127","3.085","Alexandria, 1962"
"30","Epinephelus marginatus","0.00236","3.32","Eastern Cape"
"31","Epinephelus marginatus","0.0126","3","Gabes"
"32","Epinephelus marginatus","0.0091","3.1149","Santa Catarina Island, 1998-2000"
"33","Epinephelus marginatus","0.0107","3.126","Central coast, 1993-2000"
"34","Epinephelus marginatus","0.0116","3.065","NE Mediterranean coast, 2001-2003"
"35","Siganus luridus","0.011","3.04","off Alexandria, 1998"
"36","Siganus luridus","0.01425","3.04","Kastellorizo Island, 1985-86"
"37","Siganus luridus","0.03353","2.762","Kastellorizo Island, 1985-86"
"38","Siganus luridus","0.0172","2.983","Gökova Bay, SE Aegean Sea, 2006"
"39","Siganus luridus","0.0136","2.92","Iskenderun Bay / 2007-2008"
"40","Siganus luridus","0.031","2.736","Zakynthos Island / 2013-2017."
"41","Siganus luridus","0.0166","3.008","Antalya Bay / 2009-2010. "
"42","Mycteroperca rubra","0.0166","3",NA
"43","Mycteroperca rubra","0.0146","2.958","Southeast Brazil, 1999-2000"
"44","Mycteroperca rubra","0.008","3.065","Gulf of Antalya / 2014"
"45","Mycteroperca rubra","0.02","2.9","Cape Verde peninsula / 2010-2011"
"46","Serranus cabrilla","0.0252","2.79","1985"
"47","Serranus cabrilla","0.0186","2.927","South Euboikos Gulf / 1992-1993."
"48","Serranus cabrilla","0.0336","2.661","South coast, 1994-95"
"49","Serranus cabrilla","0.016","2.82","Balearic Islands, 1995-96"
"50","Serranus cabrilla","0.0126","2.955","Cyclades, Aegean Sea, 1997-98"
"51","Serranus cabrilla","0.0135","2.914","Cyclades, Aegean Sea, 1997-98"
"52","Serranus cabrilla","0.01867","2.805","Kyclades, Aegean Sea, 1997-98"
"53","Serranus cabrilla","0.0207","2.767","Cyclades, Aegean Sea, 1997-98"
"54","Serranus cabrilla","0.0326","2.601","Cyclades, Aegean Sea, 1997-98"
"55","Serranus cabrilla","0.039","2.55","off Alexandria, 1998"
"56","Serranus cabrilla","0.0186","2.927","G. S. Evvoikos, 1992-93"
"57","Serranus cabrilla","0.02766","2.725","N. Aegean Sea, 1992-93"
"58","Serranus cabrilla","0.0729","2.41","Algarve, 1998-2000"
"59","Serranus cabrilla","0.0166","2.825","East coast, 1995"
"60","Serranus cabrilla","0.0092","3.0658","Balearic Islands & eastern coast of Iberian Peninsula, 2000-2001"
"61","Serranus cabrilla","0.0311","2.67","Edremit Bay, NW Aegean Sea, 1997-98"
"62","Serranus cabrilla","0.0112","2.997","Gökceada Island (northern Aegean Sea), 2004-2044"
"63","Serranus cabrilla","0.0161","2.825","River Cetina estuary, middle Adriatic, 2000-2004"
"64","Serranus cabrilla","0.0213","2.776","Nazaré to St André, 1997"
"65","Serranus cabrilla","0.0131","2.897","Babadillimani Bight (northeastern Mediterranean), 1999-2000"
"66","Serranus cabrilla","0.0124","2.96","Izmir Bay, Central Aegean Sea / 2005 - 2006"
"67","Serranus cabrilla","0.0135","2.941","Gulf of Castellammare, Sicily, 2004-2005"
"68","Serranus cabrilla","0.0111","2.998","Izmir Bay, 2005"
"69","Serranus cabrilla","0.0124","2.96","Izmir Bay, 2005-2006"
"70","Serranus cabrilla","0.00861","3.0611","Saros Bay, 2005-2006"
"71","Serranus cabrilla","0.0144","2.935","N-NW Aegean Sea, 2001-2006"
"72","Serranus cabrilla","0.0111","2.992","Izmir Bay, 2005"
"73","Serranus cabrilla","0.0662","3.22","NE Mediterranean coast, 2001-2003"
"74","Serranus cabrilla","0.0091","3.186","northern Sea of Marmara, 2006-2007 (Nov.-Mar.)"
"75","Serranus cabrilla","0.0122","2.99","Izmir Bay, 1998-2001"
"76","Serranus cabrilla","0.0101","3.1","Alicante, 1992-1995"
"77","Serranus cabrilla","0.0143","2.905","Alicante, 1992-1995"
"78","Serranus cabrilla","0.0159","2.874","Korinthiakos Gulf / 2008-2009"
"79","Serranus cabrilla","0.03","2.68","French Catalan coast / 2007-2010."
"80","Serranus cabrilla","0.0112","2.9904","Southern Agean Sea / 2009-2010."
"81","Serranus cabrilla","0.0147","3.046","Gulf of Tunis / 2016."
"82","Serranus cabrilla","0.012","2.908","Gökçeada Island, northern Aegean Sea / 2013-2014."
"83","Serranus cabrilla","0.0167","2.853","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"84","Serranus scriba","0.0122","2.973","Anfoushy, Alexandria, 1990"
"85","Serranus scriba","0.0296","2.715","Anfoushy, Alexandria, 1990"
"86","Serranus scriba","0.0185","2.924","South Euboikos Gulf / 1992-1993."
"87","Serranus scriba","0.0095","3.122","Aegean Sea / 1997 - 98"
"88","Serranus scriba","0.014","2.94","off Alexandria, 1998"
"89","Serranus scriba","0.0095","3.122","Kyclades, 1997-98"
"90","Serranus scriba","0.01847","2.924","G. S. Evvoikos, 1992-93"
"91","Serranus scriba","0.0137","2.971","East coast, 1995"
"92","Serranus scriba","0.01","3.1","Lanzarote Island / 1995-1996"
"93","Serranus scriba","0.0065","3.244","Gökceada Island (northern Aegean Sea), 2004-2045"
"94","Serranus scriba","0.0117","3.09","N-NW Aegean Sea / 2001 - 2006"
"95","Serranus scriba","0.0044","3.409","NE Mediterranean coast, 2001-2003"
"96","Serranus scriba","0.026","2.78","French Catalan coast / 2007-2010."
"97","Serranus scriba","0.0093","3.1637","Southern Agean Sea / 2009-2010."
"98","Serranus scriba","0.016","2.922","Zakynthos Island / 2013-2017."
